Repository Name,Repository URL
platform,https://github.com/ibm-skills-network/platform
base_adp_theme,https://github.com/ibm-skills-network/base_adp_theme
atlas,https://github.com/ibm-skills-network/atlas
next-instagram-pinterest,https://github.com/ibm-skills-network/next-instagram-pinterest
labs-learner-egress-policy-syncer,https://github.com/ibm-skills-network/labs-learner-egress-policy-syncer
skills-network,https://github.com/ibm-skills-network/skills-network
linkifier,https://github.com/ibm-skills-network/linkifier
jupyterlite-config,https://github.com/ibm-skills-network/jupyterlite-config
cc_ai_theme,https://github.com/ibm-skills-network/cc_ai_theme
author-workbench-knowledgebase,https://github.com/ibm-skills-network/author-workbench-knowledgebase
skillsnetwork-authoring-extension,https://github.com/ibm-skills-network/skillsnetwork-authoring-extension
storage_migrator,https://github.com/ibm-skills-network/storage_migrator
jupyterlab-hub-extension,https://github.com/ibm-skills-network/jupyterlab-hub-extension
internal-lab-tools,https://github.com/ibm-skills-network/internal-lab-tools
wiki,https://github.com/ibm-skills-network/wiki
jupyterlite-file-server,https://github.com/ibm-skills-network/jupyterlite-file-server
skillsnetwork-python-library,https://github.com/ibm-skills-network/skillsnetwork-python-library
xml-js,https://github.com/ibm-skills-network/xml-js
sn-testing,https://github.com/ibm-skills-network/sn-testing
image-generation-service,https://github.com/ibm-skills-network/image-generation-service
jupyterlab-authoring-dockerimage,https://github.com/ibm-skills-network/jupyterlab-authoring-dockerimage
ptech,https://github.com/ibm-skills-network/ptech
skillsnetwork-learner-extension,https://github.com/ibm-skills-network/skillsnetwork-learner-extension
docker-smtp,https://github.com/ibm-skills-network/docker-smtp
cloud-hosted-guides,https://github.com/ibm-skills-network/cloud-hosted-guides
rails-app-template,https://github.com/ibm-skills-network/rails-app-template
sn_filterable,https://github.com/ibm-skills-network/sn_filterable
sn-watson-images,https://github.com/ibm-skills-network/sn-watson-images
notification_consumer,https://github.com/ibm-skills-network/notification_consumer
